Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
08-02-2005,MARUTI,EQ,459.15,461,470.3,453.6,462,465.55,464.19,2738393,1.27E+14,,683270,0.2495
09-02-2005,MARUTI,EQ,465.55,466.5,489.75,463,489.75,487.9,481.03,5194546,2.50E+14,,1308784,0.252
10-02-2005,MARUTI,EQ,487.9,490,492,478.15,480.5,481.15,485.01,2421244,1.17E+14,,314843,0.13
11-02-2005,MARUTI,EQ,481.15,481.2,502.5,480,497.5,500.4,495.91,3749050,1.86E+14,,854484,0.2279
14-02-2005,MARUTI,EQ,500.4,507.5,507.5,486.55,493.5,491.05,494.03,2866704,1.42E+14,,699332,0.2439
15-02-2005,MARUTI,EQ,491.05,492,494.95,487.35,487.35,490.05,490.77,2240671,1.10E+14,,429485,0.1917
16-02-2005,MARUTI,EQ,490.05,491.2,493,468.1,469.25,471.8,480.95,2371155,1.14E+14,,342591,0.1445
17-02-2005,MARUTI,EQ,471.8,474.4,475.5,467.05,473.15,473.65,472.51,2340274,1.11E+14,,297508,0.1271
18-02-2005,MARUTI,EQ,473.65,473,477.9,458.35,466.5,463.1,468.69,2558533,1.20E+14,,418963,0.1638
21-02-2005,MARUTI,EQ,463.1,467.7,472.6,462.5,464.8,465.85,467.56,2412215,1.13E+14,,225000,0.0933
22-02-2005,MARUTI,EQ,465.85,465.7,475,463,474.95,473.75,470.21,1579808,7.43E+13,,132189,0.0837
23-02-2005,MARUTI,EQ,473.75,475,476,468.1,471.5,471.3,472.26,1755617,8.29E+13,,212802,0.1212
24-02-2005,MARUTI,EQ,471.3,471,476,468,474.9,472.95,472.81,1364660,6.45E+13,,259927,0.1905
25-02-2005,MARUTI,EQ,472.95,476,479.35,471.3,476,474.35,474.88,1815111,8.62E+13,,271824,0.1498
28-02-2005,MARUTI,EQ,474.35,477.7,483,458.6,473.55,473.1,471.69,3519639,1.66E+14,,813189,0.231
01-03-2005,MARUTI,EQ,473.1,476,477.4,459.45,462.55,463.5,465.65,2011161,9.37E+13,,441259,0.2194
02-03-2005,MARUTI,EQ,463.5,468,468.8,454.1,466,462.1,461.47,2499042,1.15E+14,,542057,0.2169
03-03-2005,MARUTI,EQ,462.1,463,475.2,463,473.6,473.85,470.59,1896269,8.92E+13,,440808,0.2325
04-03-2005,MARUTI,EQ,473.85,475.2,485.5,473.55,484.5,483.6,481.03,1726626,8.31E+13,,299566,0.1735
07-03-2005,MARUTI,EQ,483.6,484,485,464.6,467.15,469.2,473.79,2311464,1.10E+14,,933847,0.404
08-03-2005,MARUTI,EQ,469.2,467,473,463.15,464.75,465.2,467.03,1526766,7.13E+13,,319614,0.2093
09-03-2005,MARUTI,EQ,465.2,467.9,468.9,457.15,458.55,459.95,461.78,1614461,7.46E+13,,252493,0.1564
10-03-2005,MARUTI,EQ,459.95,460,465.2,457.15,460.7,461.6,461.96,1575096,7.28E+13,,427728,0.2716
11-03-2005,MARUTI,EQ,461.6,463.15,468.9,454.9,455.05,457.65,461.71,1282578,5.92E+13,,357769,0.2789
14-03-2005,MARUTI,EQ,457.65,457.65,462.7,451.6,452.55,453.8,456.76,1650505,7.54E+13,,278901,0.169
15-03-2005,MARUTI,EQ,453.8,454.05,456.4,447.15,450,449.45,451.27,1252332,5.65E+13,,136937,0.1093
16-03-2005,MARUTI,EQ,449.45,451,455.8,447.5,447.5,449.85,452.19,977386,4.42E+13,,141530,0.1448
17-03-2005,MARUTI,EQ,449.85,449,449,433.05,434,437.45,442.01,1504543,6.65E+13,,555260,0.3691
18-03-2005,MARUTI,EQ,437.45,437,450.75,423.2,450,448,437.88,3328547,1.46E+14,,629809,0.1892
21-03-2005,MARUTI,EQ,448,451,451,426.3,428.5,428.95,435.07,2446949,1.06E+14,,670184,0.2739
22-03-2005,MARUTI,EQ,428.95,430,434.6,419.5,419.55,420.8,427.33,2295595,9.81E+13,,427490,0.1862
23-03-2005,MARUTI,EQ,420.8,421,425.8,408.05,408.25,411.75,417.48,3727125,1.56E+14,,850831,0.2283
24-03-2005,MARUTI,EQ,411.75,414,418.35,405,412,411.75,410.83,3175208,1.30E+14,,601373,0.1894
28-03-2005,MARUTI,EQ,411.75,412,430.85,412,418,421.2,422.65,2478791,1.05E+14,,423107,0.1707
29-03-2005,MARUTI,EQ,421.2,421.7,421.7,408.25,412,411.85,414.79,1621447,6.73E+13,,259515,0.1601
30-03-2005,MARUTI,EQ,411.85,418,420.9,408,419.5,418.95,415.7,1879508,7.81E+13,,306638,0.1631
31-03-2005,MARUTI,EQ,418.95,421.5,431.2,417,427,421.3,421.55,1556182,6.56E+13,,491191,0.3156
01-04-2005,MARUTI,EQ,421.3,426.9,432.8,418,429.3,430.5,426.75,1554221,6.63E+13,,155789,0.1002
04-04-2005,MARUTI,EQ,430.5,431,432,415,421.5,420.05,421.72,1596224,6.73E+13,,380534,0.2384
05-04-2005,MARUTI,EQ,420.05,420.75,423,401.15,403.1,403.1,408.87,2071324,8.47E+13,,476656,0.2301
06-04-2005,MARUTI,EQ,403.1,406,411.85,398.2,410.55,407.5,406.11,3490605,1.42E+14,,745970,0.2137
07-04-2005,MARUTI,EQ,407.5,405.05,416.9,405.05,407.7,410.45,413.24,1786414,7.38E+13,,147182,0.0824
08-04-2005,MARUTI,EQ,410.45,414,415,407.1,413.5,411.5,411.29,1800928,7.41E+13,,362857,0.2015
11-04-2005,MARUTI,EQ,411.5,414.9,415.4,400.15,401,402.2,406.41,2038229,8.28E+13,,491464,0.2411
12-04-2005,MARUTI,EQ,402.2,403.95,409.8,399,409.35,407.65,404.18,1750227,7.07E+13,,169046,0.0966
13-04-2005,MARUTI,EQ,407.65,409.8,414,407,410.55,411.65,411.11,2097297,8.62E+13,,379542,0.181
15-04-2005,MARUTI,EQ,411.65,413,413,401.65,406.05,404.7,405.74,1241077,5.04E+13,,172402,0.1389
18-04-2005,MARUTI,EQ,404.7,403,415,396.3,414,412.15,407.51,2207205,8.99E+13,,547782,0.2482
19-04-2005,MARUTI,EQ,412.15,415,423.4,413.8,415,415,419.14,2267053,9.50E+13,,633993,0.2797
20-04-2005,MARUTI,EQ,415,416.1,429.4,414.5,428.55,427,421.17,1561475,6.58E+13,,213188,0.1365
21-04-2005,MARUTI,EQ,427,433,434.95,418,431.55,432.85,429.18,1965668,8.44E+13,,233957,0.119
22-04-2005,MARUTI,EQ,432.85,435,441.8,427.65,438,439.35,435.43,2515969,1.10E+14,,345735,0.1374
25-04-2005,MARUTI,EQ,439.35,440,442.5,432,439,440.7,438.53,2114597,9.27E+13,,432321,0.2044
26-04-2005,MARUTI,EQ,440.7,439,443.9,429.1,432,430.8,436.45,2193667,9.57E+13,,375091,0.171
27-04-2005,MARUTI,EQ,430.8,428.25,430.95,416.5,418.95,418.45,424.29,1586245,6.73E+13,,342854,0.2161
28-04-2005,MARUTI,EQ,418.45,420,426.45,412.6,415,414.8,419.06,2386442,1.00E+14,,420638,0.1763
29-04-2005,MARUTI,EQ,414.8,416,418,403.5,406.1,406.4,408.79,1596954,6.53E+13,,273483,0.1713
02-05-2005,MARUTI,EQ,406.4,409,414.9,393,402,403.25,399.03,2914276,1.16E+14,,502471,0.1724
03-05-2005,MARUTI,EQ,403.25,405.9,412.5,400.6,409.5,410.65,407.43,2125405,8.66E+13,,323746,0.1523
04-05-2005,MARUTI,EQ,410.65,411.2,415,406.6,414.45,413.7,411.59,1634636,6.73E+13,,192984,0.1181
05-05-2005,MARUTI,EQ,413.7,418,421.85,413.55,415.3,415.6,418.16,1332445,5.57E+13,,102157,0.0767
06-05-2005,MARUTI,EQ,415.6,418.4,436.9,412,436.1,432.65,424.39,6038159,2.56E+14,,712581,0.118
09-05-2005,MARUTI,EQ,432.65,436.4,463,436.3,439,439.8,440.49,2510186,1.11E+14,,649140,0.2586
10-05-2005,MARUTI,EQ,439.8,440,440.5,434.15,440.5,437.35,437.1,1778047,7.77E+13,,134491,0.0756
11-05-2005,MARUTI,EQ,437.35,430.25,438.3,430.25,434,433.15,433.95,1612077,7.00E+13,,313182,0.1943
12-05-2005,MARUTI,EQ,433.15,435,442.8,435,438,438.2,439.54,1472240,6.47E+13,,215794,0.1466
13-05-2005,MARUTI,EQ,438.2,440,440,432.95,435.05,434.7,435.25,1504615,6.55E+13,,577626,0.3839
